name,state,pop
Empire Beauty School-Lakewood,CO,83.0
Community College of Aurora,CO,5347.0
CollegeAmerica-Denver,CO,407.0
Delta Montrose Technical College,CO,239.0
Prince Institute-Rocky Mountains,CO,0.0
Community College of Denver,CO,7725.0
Lincoln College of Technology-Denver,CO,1263.0
Denver Seminary,CO,
Westwood College-Denver North,CO,342.0
University of Denver,CO,5629.0
Emily Griffith Technical College,CO,3612.0
Fort Lewis College,CO,3609.0
Front Range Community College,CO,15551.0
Glenwood Beauty Academy,CO,47.0
Hair Dynamics Education Center,CO,172.0
Iliff School of Theology,CO,
International Salon and Spa Academy,CO,263.0
Lamar Community College,CO,476.0
Colorado Mesa University,CO,8413.0
Metropolitan State University of Denver,CO,20583.0
Morgan Community College,CO,800.0
Naropa University,CO,434.0
National American University-Colorado Springs,CO,253.0
National American University-Denver,CO,218.0
Nazarene Bible College,CO,758.0
Northeastern Junior College,CO,1317.0
University of Northern Colorado,CO,9104.0
Otero Junior College,CO,962.0
Everest College-Thornton,CO,342.0
Pikes Peak Community College,CO,11748.0
IBMC College,CO,357.0
Pueblo Community College,CO,4790.0
Red Rocks Community College,CO,7745.0
Regis University,CO,4914.0
Rocky Mountain College of Art and Design,CO,1013.0
Montessori Education Center of the Rockies,CO,14.0
Colorado State University-Pueblo,CO,4227.0
Pickens Technical College,CO,1084.0
Intellitec College-Colorado Springs,CO,828.0
Intellitec College-Grand Junction,CO,617.0
Trinidad State Junior College,CO,1183.0
Empire Beauty School-Thornton,CO,132.0
Western State Colorado University,CO,1936.0
Albertus Magnus College,CT,1249.0
Paul Mitchell the School-Danbury,CT,137.0
Asnuntuck Community College,CT,1316.0
Branford Hall Career Institute-Branford Campus,CT,493.0
Lincoln College of New England-Southington,CT,713.0
Bridgeport Hospital School of Nursing,CT,189.0
University of Bridgeport,CT,3021.0
Central Connecticut State University,CT,9600.0
Charter Oak State College,CT,1799.0
Connecticut Center for Massage Therapy-Newington,CT,279.0
Connecticut College,CT,1875.0
Marinello Schools of Beauty-East Hartford,CT,203.0
Porter and Chester Institute of Branford,CT,286.0
University of Connecticut,CT,18016.0
Goodwin College,CT,3291.0
Lincoln Technical Institute-East Windsor,CT,1025.0
Eastern Connecticut State University,CT,4793.0
Fairfield University,CT,3841.0
Paul Mitchell the School-North Haven,CT,175.0
Capital Community College,CT,3572.0
Rensselaer Hartford Graduate Center Inc,CT,
American Institute-West Hartford,CT,419.0
Hartford Seminary,CT,
University of Hartford,CT,4956.0
Holy Apostles College and Seminary,CT,58.0
Housatonic Community College,CT,4908.0
Lyme Academy College of Fine Arts,CT,0.0
Manchester Community College,CT,6564.0
Naugatuck Valley Community College,CT,6443.0
Middlesex Community College,CT,2534.0
Mitchell College,CT,710.0
Three Rivers Community College,CT,4161.0
Lincoln Technical Institute-New Britain,CT,459.0
New England Tractor Trailer Training School of Connecticut,CT,310.0
University of New Haven,CT,4974.0
Ridley-Lowell Business & Technical Institute-New London,CT,255.0
Norwalk Community College,CT,5028.0
Northwestern Connecticut Community College,CT,1206.0
Paier College of Art Inc,CT,112.0
Marinello Schools of Beauty-Meriden,CT,390.0
Porter and Chester Institute of Stratford,CT,2378.0
Post University,CT,6594.0
Quinebaug Valley Community College,CT,1729.0
Quinnipiac University,CT,6503.0
Sacred Heart University,CT,4904.0
University of Saint Joseph,CT,930.0
Gateway Community College,CT,7127.0
St Vincent's College,CT,737.0
Southern Connecticut State University,CT,8133.0
Stone Academy-Hamden,CT,436.0
Tri-State College of Acupuncture,NY,
